"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"9-D21PM"	138580	72015	129983	32952	129648	756	122010	1230	98877	129
"10-D64PM"	139127	52894	131774	23903	131536	631	122751	1037	101535	102
"5-D14"	139952	106984	125782	57275	125331	859	110281	1361	90059	135
"3-D21PM"	141234	78741	131249	36765	130860	1081	118220	1615	91749	168
"6-D14"	142273	123186	120655	71443	119793	466	105545	904	89397	87
"2-D21PM"	142368	85945	131596	41451	131127	1111	117432	1590	91240	158
"8-D14"	143957	113367	126848	62544	126284	527	112466	968	92555	92
"10-D14"	145075	115872	127353	63501	126719	453	113188	828	97850	88
"9-D31AM"	145319	65395	136188	31543	135935	732	125620	1163	101413	118
"3-D21AM"	148640	79479	138657	36608	138280	1181	125546	1683	96754	163
"6-D18"	149553	73529	139245	34890	138977	742	128676	1245	104301	137
"4-D21AM"	149733	92123	138129	43838	137711	1039	124070	1543	99090	158
"7-D4AM"	149952	97165	135430	46494	134820	574	123530	995	104885	131
"7-D11"	149988	116860	132076	62950	131521	527	117266	967	95257	97
"6-D16"	155650	127771	134799	70479	134069	467	119227	913	103067	103
"10-D21AM"	157286	86529	146124	42169	145695	723	133581	1210	109024	117
"2-D18"	157467	82309	145879	38202	145444	1082	131192	1557	102459	156
"6-D3PM"	158453	134131	135672	74350	134301	348	115150	635	102054	112
"8-D21AM"	159843	95080	147063	46914	146614	731	133483	1257	107346	122
"7-D16"	159922	129422	139476	71741	138893	486	123682	892	105792	95
"3-D46"	164397	66949	156303	30973	156092	692	142802	1141	109624	81
"7-D21AM"	165979	131911	143455	72264	142645	681	123227	1186	99841	117
"10-D11"	166820	151980	127146	87189	125648	430	104580	873	85757	83
"4-D18"	168687	84835	157742	39508	157174	1158	142960	1712	108249	160
"8-D18"	187127	85218	175102	40450	174794	807	162014	1358	130184	131
"9-D21AM"	194884	107992	180368	54099	179701	855	161409	1416	123115	135
"7-D18"	195630	89902	183157	43052	182715	940	166288	1494	126847	136
"6-D21AM"	205035	107197	192162	50793	191658	853	177131	1440	144604	130
