"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"6-D61"	95416	18769	89304	14075	89016	978	81381	805	64164	87
"4-D2AM"	95527	20539	86460	15976	86148	843	76503	668	61797	83
"10-D37PM"	95567	17802	84696	12978	84508	716	77364	572	67445	64
"5-D44PM"	95627	18823	86777	13887	86548	824	77220	691	60291	52
"10-D50PM"	95936	16500	90794	13174	90552	1051	85236	882	70490	90
"7-D42AM"	96078	17088	87918	12134	87694	861	82553	741	68464	70
"3-D29PM"	96289	23505	89810	19051	89273	1717	81420	1451	65471	137
"8-D47"	96452	14284	92463	11615	92267	1043	88066	867	73546	88
"9-D45AM"	96632	14326	91931	11156	91801	843	87502	712	72971	56
"3-D14"	96654	24399	85553	18347	84972	1514	73893	1108	60343	134
"10-D52PM"	96698	17075	91180	13913	90971	1084	83903	905	69214	90
"6-D9"	96931	19409	87063	14876	86803	1170	77812	898	64875	94
"M2-D10-2A"	97014	17857	91016	13414	90584	1226	86147	1039	73988	121
"9-D44PM"	97187	18366	90826	13559	90671	796	85677	697	71248	49
"9-D53"	97200	18295	90882	14952	90567	1056	81875	861	68088	94
"8-D43AM"	97203	17542	90177	12401	90047	622	83867	540	69732	40
"8-D38"	97270	15908	89167	11187	88998	544	83988	455	77553	53
"10-D22PM"	97309	17305	90894	14035	90502	1175	85370	947	74426	134
"9-D51AM"	97523	14330	92020	11639	91819	1035	86515	868	71481	84
"8-D2PM"	97571	17667	88966	13728	88704	1013	82788	819	70543	145
"10-D31AM"	97582	17902	91751	14549	91471	1215	86018	1022	70245	104
"8-D32"	97652	21645	89938	17228	89692	1130	81336	909	67065	111
"5-D32"	97843	22548	88388	17766	88008	1171	79699	968	65514	134
"7-D44PM"	97916	18265	92023	14110	91866	834	85878	711	72588	63
"6-D4PM"	97931	17731	89814	14042	89460	1233	82889	966	67727	114
"6-D46"	98377	19652	92156	15375	91904	967	85390	768	70218	70
"7-D50AM"	98377	16522	93572	13586	93339	1147	87512	962	71094	87
"8-D6"	98549	17997	88876	13892	88610	1123	81154	868	68089	107
"9-D62"	98592	17539	93078	13176	92760	976	85269	830	69779	102
"4-D46"	98775	21099	93576	17357	93250	1293	84666	1122	66379	71
"6-D36AM"	98789	17180	91228	13577	91022	1088	85255	926	69216	78
"3-D6"	98857	23231	90288	18398	89772	1481	79336	1205	63778	150
"8-D42AM"	99100	14846	92400	9948	92255	480	89272	421	77481	43
"8-D35PM"	99176	20898	91828	16898	91472	1213	83459	1003	67952	113
"7-D60PM"	99256	15587	95395	12527	95003	1153	89200	987	70809	87
"7-D38"	99441	18554	91048	13718	90882	780	84664	647	75402	71
"2-D38"	99447	21021	89640	14848	89390	937	82235	761	69809	62
"7-D47"	100184	16349	95875	13463	95583	1129	90469	953	74662	99
"8-D30PM"	100190	19758	93676	16144	93415	1082	85514	896	70799	115
"6-D33"	100203	20603	93291	16690	92990	1242	85451	1035	68636	101
"6-D51AM"	100307	12945	95737	10596	95570	970	91326	799	78091	81
"7-D7"	100747	18746	90842	14702	90541	1257	81636	957	66598	121
"2-D36AM"	100894	24506	93198	19400	92817	1612	83842	1348	63968	104
"10-D45AM"	101024	15420	96359	11994	96157	857	91786	738	76582	60
"7-D4PM"	101270	17589	93710	14125	93400	1180	87115	955	70744	117
"4-D6"	101419	25058	91443	19289	90936	1384	81692	1119	65449	134
"M2-D10-3B"	101825	19091	95386	14166	94979	1253	90209	1046	77272	124
"10-D7"	102042	20067	93613	15926	93238	1241	86642	1016	73656	124
"10-D43AM"	102148	18483	95943	13626	95797	722	90883	642	77239	45
"9-D37PM"	102743	18816	92013	14081	91772	780	83903	628	72442	70
"8-D37AM"	102746	17140	92070	12365	91959	635	84587	492	77107	63
"6-D29AM"	102918	19497	97057	15853	96618	1175	90840	973	74940	115
"7-D9"	102950	19681	95719	15701	95377	1191	89056	996	74428	116
"9-D29AM"	103127	17843	96934	14404	96574	1237	91112	1031	75030	118
"7-D2PM"	103313	16955	95283	13168	94994	957	90217	793	77318	128
"5-D37PM"	103454	19084	93309	13227	93065	861	86200	720	75579	54
"4-D16"	103554	22489	88287	16073	88010	1232	77059	889	65463	125
"10-D4PM"	103614	17773	95837	14289	95434	1165	89810	955	73259	115
"8-D46"	104000	17003	98155	13282	98054	752	92100	603	79263	67
"7-D37PM"	104194	20255	93102	14823	92843	868	84417	644	71085	71
"6-D32"	104195	22265	97213	18179	96883	1268	88587	1043	71974	107
"8-D21PM"	104198	16930	97983	13822	97662	1237	92541	1035	77896	113
"9-D4PM"	104427	17672	97194	14469	96732	1246	90783	1035	75996	131
"9-D51PM"	104544	17170	96947	13576	96864	855	89050	679	78293	70
"9-D32"	104609	23430	97922	19329	97578	1282	88303	1091	70713	122
"9-D3AM"	104851	17805	94721	13606	94481	1003	87503	796	74841	125
"10-D4AM"	104929	20078	94858	15699	94431	1127	85116	859	72520	130
"6-D31PM"	104953	18417	99192	15214	98873	1232	93028	1039	76082	107
"5-D29PM"	105331	26985	97192	21779	96620	1740	86521	1434	67074	130
"8-D45AM"	105409	13995	99597	10518	99472	780	94588	652	81620	58
"7-D32"	105490	24446	95747	19284	95394	1222	83757	976	65982	102
"M2-D8-3B"	105965	18027	100521	13759	100055	1221	95730	1008	82815	117
"10-D36PM"	106634	19225	96142	14708	95995	798	87187	631	75419	82
"9-D50AM"	106725	17746	101233	14256	101007	1072	94917	915	77535	82
"10-D21PM"	107329	18650	95858	14123	95484	1281	87327	983	71281	107
"8-D45PM"	107499	20329	100697	15262	100486	791	94271	680	78610	58
"3-D39"	107580	24456	99683	19326	99275	1226	90844	1049	71529	87
"9-D45PM"	107752	20543	101350	15994	101095	981	94147	840	77319	68
"10-D30PM"	107799	22950	98951	18289	98572	1187	88243	985	71640	117
"3-D37AM"	107813	21854	94888	15624	94710	979	80371	681	69183	64
"7-D45AM"	107854	15916	102745	12341	102505	950	98283	813	81972	77
"2-D37AM"	107902	19816	99468	14923	99275	896	89638	688	76183	64
"9-D2PM"	107993	16924	99057	13074	98818	979	92479	775	78121	113
"10-D3PM"	108265	18718	96910	14149	96691	912	87752	666	78865	126
"9-D52PM"	108379	21112	99911	16825	99550	1179	89451	966	73398	97
"7-D29PM"	108402	21803	102111	17922	101692	1262	94163	1041	76739	127
"8-D11"	108521	19900	96291	15117	96069	1152	86144	833	73275	101
"8-D39"	108853	17963	100372	12404	100222	549	95383	468	85470	43
"6-D38"	109052	19239	100275	14549	100092	770	92534	627	81278	62
"8-D5"	109258	21516	98370	16657	98068	1248	86890	951	73080	131
"7-D45PM"	109556	16257	104410	12728	104157	989	99297	838	82457	79
"9-D46"	110031	19092	103317	15050	103093	1057	96142	848	78923	68
"8-D4AM"	110124	20491	95707	15096	95373	1141	81974	780	69938	124
"6-D39"	110136	19321	100393	14265	100219	755	92487	622	80670	59
"2-D14"	110195	27325	98737	20899	98201	1560	86317	1139	68830	122
"10-D44PM"	110201	17232	104357	12831	104245	751	99614	659	84858	48
"2-D4AM"	110487	23002	96671	16835	96437	1109	83147	786	72250	112
"M2-D9-3A"	110523	17872	104897	13662	104396	1298	100090	1067	86821	128
"9-D64PM"	110807	22249	104098	16588	103686	1165	95601	1005	76333	111
"2-D36PM"	110847	21837	103440	17120	103076	1450	95743	1212	78127	94
"7-D39"	111281	20984	99752	14993	99548	811	92263	669	79777	67
"10-D2PM"	111288	16705	102734	13206	102435	1120	96794	892	81973	137
"7-D46"	111540	20344	105391	16260	105158	1053	98104	864	80358	88
"1-D5"	112199	23816	103666	19291	103170	1579	95122	1294	73435	122
"9-D6"	112303	20596	101007	16031	100692	1262	90299	979	73584	117
"2-D46"	112325	23221	105687	19019	105336	1252	92929	1018	70500	78
"6-D31AM"	113039	22423	106733	18414	106368	1256	98647	1067	81235	114
"9-D30PM"	113412	21712	107081	17945	106755	1281	98774	1061	80201	125
"10-D36AM"	113628	18742	104623	14440	104393	1144	97679	942	79874	94
"8-D36PM"	113839	17006	104539	13096	104285	1006	98415	799	82723	90
"9-D36AM"	114949	20536	103742	15780	103381	1313	94707	1045	76527	128
"8-D33"	115596	18335	108682	14859	108447	1135	102028	950	84727	107
"7-D21PM"	115599	20557	107528	16601	107051	1417	99948	1139	81519	120
"8-D64PM"	116124	22503	109357	17065	108922	1284	100396	1085	80078	107
"5-D16"	116287	25435	101399	19071	101052	1495	85695	1051	72435	127
"8-D50AM"	117085	19618	109262	15408	108956	1237	100590	1001	83646	86
"9-D35PM"	117465	24801	108867	20243	108394	1451	99285	1184	78358	119
"8-D64AM"	117929	17892	111781	13806	111508	1212	102301	1009	84578	92
"6-D35PM"	117982	24275	107351	19176	107011	1352	96243	1091	76804	105
"6-D47"	118008	17619	112558	14156	112349	1108	106642	934	88533	82
"9-D36PM"	118837	21986	106947	16758	106791	839	96357	645	81899	90
"10-D38"	119201	22160	107596	15836	107318	789	98631	653	86834	60
"10-D18"	119332	24230	111736	19858	111375	1392	103446	1166	83190	113
"6-D37PM"	120290	22249	103867	15773	103638	951	89384	671	76076	68
"6-D44PM"	120358	21204	112914	16222	112746	888	105431	775	86657	53
"5-D21AM"	121720	26776	112504	21562	112059	1718	100749	1392	83660	147
"9-D38"	121796	21501	107247	15208	107028	761	97342	619	87037	65
"9-D47"	121919	18897	116224	14967	115910	1165	110470	994	90859	86
"10-D45PM"	121947	21673	115089	16967	114849	927	107025	781	86813	63
"10-D42PM"	122069	20055	114665	14391	114517	735	109512	666	91906	42
"3-D33"	122713	35324	112789	27447	111931	1957	100013	1702	71118	135
"4-D14"	122832	30260	108295	22296	107804	1619	94644	1178	74775	117
"5-D21PM"	122868	28304	111742	22478	111187	1802	98066	1427	78930	143
"5-D18"	123023	31885	111067	25304	110231	1911	95321	1462	74763	154
"9-D14"	124160	21815	106926	15637	106779	986	94094	689	83238	97
"M2-D9-2A"	124952	22099	118720	17118	118019	1487	112922	1250	92780	133
"6-D52AM"	125096	20577	116723	16184	116586	964	107733	766	94140	85
"10-D46"	125357	20547	118829	16425	118491	1083	111210	911	90888	84
"8-D7"	125468	21056	114058	16525	113768	1296	104583	1004	87172	117
"7-D6"	125725	23621	113238	18344	112867	1241	102743	968	84477	113
"5-D47"	125800	21340	117412	16974	116971	1437	107546	1215	83215	79
"9-D16"	125987	23521	100531	16062	100364	1069	85992	727	73568	89
"9-D11"	126869	23970	113526	18401	113201	1335	101242	986	83633	101
"7-D36PM"	126910	19881	115136	14945	114845	1051	108066	835	89189	87
"10-D16"	127559	21156	105334	14391	105186	1045	92003	720	80045	87
"4-D21PM"	128407	32502	116171	24931	115326	1696	102801	1333	83860	155
"6-D21PM"	128507	24747	119453	19978	119089	1388	109564	1151	89262	122
"9-D5"	128545	26031	117582	20586	117149	1380	106514	1132	86938	128
"2-D16"	128691	26449	113706	19804	113319	1342	99682	963	83260	126
"5-D33"	129649	27568	115032	21134	114327	1154	103571	934	80262	128
"3-D18"	130278	32428	121553	26201	120853	1768	110397	1496	89445	152
"8-D36AM"	131546	19484	122074	15340	121806	1160	115204	960	94092	97
"8-D16"	131811	23113	116635	17016	116405	1160	105129	857	91086	115
"10-D6"	132602	24512	117109	18596	116726	1397	101575	1003	84114	121
"7-D14"	137739	24920	117262	18032	116853	1328	102125	920	84379	98
"9-D21PM"	138580	22266	129983	18315	129429	1481	122010	1230	98877	129
"10-D64PM"	139127	23157	131774	17225	131330	1236	122751	1037	101535	102
"5-D14"	139952	30856	125782	23149	125073	1860	110281	1361	90059	135
"3-D21PM"	141234	35075	131249	28213	130368	1946	118220	1615	91749	168
"6-D14"	142273	25230	120655	18059	120349	1316	105545	904	89397	87
"2-D21PM"	142368	37338	131596	29985	130501	1941	117432	1590	91240	158
"8-D14"	143957	25699	126848	19340	126521	1320	112466	968	92555	92
"10-D14"	145075	24494	127353	18176	127169	1130	113188	828	97850	88
"9-D31AM"	145319	26973	136188	21964	135745	1356	125620	1163	101413	118
"3-D21AM"	148640	37332	138657	30252	137589	2044	125546	1683	96754	163
"6-D18"	149553	29496	139245	23781	138814	1500	128676	1245	104301	137
"4-D21AM"	149733	37312	138129	29576	137253	1878	124070	1543	99090	158
"7-D4AM"	149952	25919	135430	19715	135050	1266	123530	995	104885	131
"7-D11"	149988	28347	132076	20931	131780	1313	117266	967	95257	97
"6-D16"	155650	28056	134799	20510	134613	1252	119227	913	103067	103
"10-D21AM"	157286	29871	146124	24244	145684	1455	133581	1210	109024	117
"2-D18"	157467	39755	145879	31982	144812	1908	131192	1557	102459	156
"6-D3PM"	158453	25989	135672	18367	135462	970	115150	635	102054	112
"8-D21AM"	159843	31033	147063	24690	146629	1519	133483	1257	107346	122
"7-D16"	159922	29005	139476	20917	139259	1211	123682	892	105792	95
"3-D46"	164397	30128	156303	24542	155931	1370	142802	1141	109624	81
"7-D21AM"	165979	33372	143455	24965	142835	1517	123227	1186	99841	117
"10-D11"	166820	30613	127146	19951	126854	1287	104580	873	85757	83
"4-D18"	168687	41411	157742	33979	156527	2055	142960	1712	108249	160
"8-D18"	187127	36879	175102	30097	174559	1600	162014	1358	130184	131
"9-D21AM"	194884	40385	180368	33117	179610	1713	161409	1416	123115	135
"7-D18"	195630	43393	183157	35685	182416	1777	166288	1494	126847	136
"6-D21AM"	205035	36165	192162	29408	191569	1697	177131	1440	144604	130
"sample_Reverse reads"	"raw.all_Reverse reads"	"raw.Uniq_Reverse reads"	"afterTrim.all_Reverse reads"	"afterTrim.Uniq_Reverse reads"	"afterDenoise.all_Reverse reads"	"afterDenoise.Uniq_Reverse reads"	"afterMerge.all_Reverse reads"	"afterMerge.Uniq_Reverse reads"	"afterBimera.all_Reverse reads"	"afterBimera.Uniq_Reverse reads"
"10-D0AM"	371	357	225	202	197	21	87	19	86	18
"2-D0AM"	5178	3229	4509	1603	4465	101	3998	119	3952	107
"3-D0AM"	5231	3127	4579	1430	4544	106	4025	125	3971	107
"9-D0AM"	6977	4221	6061	2052	5975	125	5114	135	5010	125
"6-D0AM"	8960	4436	8129	2160	8098	137	7312	166	7212	128
"4-D0AM"	9134	5980	8149	2964	8094	116	6408	142	6344	120
"5-D0AM"	12040	6129	10891	2923	10830	161	10027	212	9757	135
"8-D0AM"	12985	6385	11732	3060	11686	194	10820	253	10489	160
"2-D0PM"	13582	7393	12328	3157	12261	157	10986	196	10763	142
"4-D0PM"	15822	9178	14220	4526	14117	154	12877	188	12630	143
"7-D0AM"	22593	10743	20658	5074	20593	239	17655	325	16908	164
"2-D8"	33371	17896	31084	8674	31031	357	28758	521	25292	96
"inoculum1-5"	34276	17617	32522	8428	32300	362	29119	476	26308	203
"4-D8"	34634	24247	31346	12762	31255	315	28273	475	24659	86
"1-D0AM"	34848	18387	31684	6307	31402	153	25050	189	23052	97
"5-D8"	35751	19876	32970	9487	32911	332	31051	504	27626	81
"5-D60AM"	36044	21101	33547	10324	33450	389	30480	651	24797	88
"6-D8"	37429	18431	35024	9116	34940	261	33112	397	30193	82
"2-D57PM"	37764	22473	35195	10393	35091	469	31770	723	25755	86
"2-D59PM"	38539	21965	36821	9446	36752	433	33844	687	27513	85
"2-D59AM"	39959	23343	37990	9936	37910	536	34369	845	26023	99
"6-D64PM"	42250	21945	39976	11574	39873	322	36131	555	30403	81
"4-D23PM"	42284	25344	39587	12443	39439	624	36328	782	32029	131
"3-D53"	43614	25816	39937	13246	39784	439	35541	651	29425	100
"1-D0PM"	43903	28639	39889	9862	39827	189	31234	278	26679	103
"2-D23AM"	43942	28866	40359	13546	40228	470	37950	621	35104	117
"3-D64AM"	44624	23076	42649	9580	42579	616	39243	962	30729	89
"3-D60AM"	44760	23099	41925	10173	41827	513	38045	812	29783	92
"3-D57AM"	44862	30687	41244	13744	41050	474	37170	699	29787	103
"5-D1AM"	45560	32510	39487	17094	39214	221	33851	414	29982	57
"4-D24"	45716	34824	41430	18968	41230	520	37797	723	33045	130
"3-D8"	45798	23897	42379	11654	42282	406	39179	597	33870	97
"5-D23PM"	45965	27750	43406	13589	43250	646	39430	766	34937	141
"3-D0PM"	45985	28825	41888	11999	41802	158	30497	223	26476	77
"3-D51AM"	46288	23678	42557	11735	42450	342	38241	522	33773	75
"2-D64PM"	46903	24723	44329	10870	44241	529	39969	839	32047	94
"5-D64AM"	47270	24509	44568	11029	44466	572	40133	895	32330	92
"9-D29PM"	47371	22757	44327	11279	44252	481	40710	715	32576	100
"9-D58PM"	47603	22531	45193	11319	45070	308	40902	560	33455	75
"5-D0PM"	47614	31649	43311	12630	43220	141	31284	209	25210	68
"9-D23AM"	47723	26243	44693	12486	44491	666	41058	806	36374	125
"9-D54"	47840	28091	43133	15109	42967	374	38752	625	33030	102
"2-D3AM"	47916	31659	42863	15257	42674	392	37244	615	31972	93
"8-D54"	48309	28872	43476	15580	43315	385	38556	642	32584	99
"2-D63"	48364	26502	45937	10697	45740	617	40977	1016	26597	104
"3-D57PM"	49001	32219	45797	15521	45589	469	41269	723	32665	99
"4-D64AM"	49007	26547	46580	12058	46454	659	42121	1000	30202	105
"5-D64PM"	49350	26268	46614	11519	46511	539	42488	861	34719	88
"5-D28PM"	49624	31026	46194	14895	46006	628	40887	786	35245	131
"2-D23PM"	49680	24993	46701	11523	46562	654	43443	841	38359	134
"2-D24"	49802	37130	44875	19582	44683	504	41335	699	36881	109
"9-D64AM"	50111	22657	47489	11344	47369	422	43557	684	34772	88
"6-D0PM"	50213	33545	46041	16415	45948	132	30907	196	27128	58
"3-D60PM"	50488	23856	48405	10150	48310	586	44901	911	35121	97
"5-D29AM"	50722	26761	47325	13276	47140	841	41064	1159	28503	101
"4-D51PM"	50805	23551	47802	11397	47691	540	44476	795	37285	82
"4-D64PM"	51071	25008	48209	11437	48113	509	44593	815	36112	90
"4-D9"	51119	31385	47162	15110	47026	645	42909	940	35386	121
"3-D59PM"	51160	28597	49230	12295	49127	472	43669	798	35674	98
"5-D62"	51318	23985	48342	10333	48223	657	44208	1010	35160	101
"2-D51AM"	51366	26213	48233	12641	48136	523	43347	786	35813	92
"4-D30PM"	51645	34957	46771	18240	46636	509	42151	810	36545	110
"5-D58AM"	51732	28427	48051	12612	47923	399	43936	681	35333	70
"5-D24"	52081	36897	47732	19210	47550	553	43791	738	39376	127
"2-D51PM"	52099	23191	49646	10813	49547	518	46134	830	38382	100
"3-D44AM"	52314	27630	48739	13123	48669	397	44253	687	36466	54
"3-D22PM"	52375	33308	48526	16537	48348	692	44282	900	39167	144
"6-D64AM"	52503	25840	49540	13827	49376	407	45110	663	37443	88
"3-D24"	52585	34860	48425	16900	48286	467	45727	633	41224	106
"2-D62"	53243	28148	49684	11736	49565	531	45379	848	36516	89
"3-D63"	53281	25132	50638	10312	50518	705	46800	1100	35026	96
"4-D1PM"	53296	38959	45402	20159	45086	208	39209	353	33780	53
"6-D59PM"	53359	24345	49815	12422	49683	331	44844	552	36583	64
"inoculum-6-10"	53435	25406	50711	11547	50463	369	45169	520	38557	132
"3-D42PM"	53551	22810	50585	9999	50521	472	46889	741	38351	56
"4-D52AM"	54033	28586	49972	14474	49864	451	44438	687	38553	78
"2-D57AM"	54213	30798	50379	13532	50195	583	45317	853	35934	107
"2-D1AM"	54243	35399	48401	17680	48106	304	39081	520	32049	55
"4-D57PM"	54566	29828	50674	12794	50532	513	45664	764	36697	91
"5-D63"	54597	30153	51862	13596	51714	711	46845	1101	35642	106
"3-D59AM"	54774	27253	52541	11354	52444	594	48041	930	35178	101
"2-D11"	54927	29768	50682	14020	50521	732	46106	1026	37309	123
"9-D0PM"	55183	31951	50708	12981	50615	185	37730	282	32042	71
"10-D59AM"	55189	28976	52665	16234	52467	428	48039	731	40183	92
"5-D1PM"	55379	39108	48103	19956	47774	210	41908	354	35761	64
"5-D35AM"	55394	26676	51896	12401	51754	535	48700	776	40370	107
"2-D64AM"	55562	28439	52852	11978	52757	619	48499	1017	36263	88
"10-D8"	55588	31910	51470	15703	51346	463	47533	738	39522	94
"6-D53"	55800	27466	52175	16090	52011	399	46474	641	39608	83
"3-D28AM"	55921	31221	52069	14972	51898	727	47220	956	39980	135
"4-D44AM"	55950	28729	52022	14504	51919	409	46524	696	37453	51
"4-D58PM"	55976	25525	52599	11347	52491	444	47302	677	39099	95
"2-D9"	56075	32647	52130	15537	51981	674	47952	963	37937	110
"5-D11"	56304	30989	52291	14621	52169	713	47683	1026	38322	117
"3-D64PM"	56462	28763	53419	12380	53305	632	48989	985	39650	101
"8-D24"	56834	40597	51452	20672	51286	337	48918	538	43605	83
"5-D44AM"	56844	28268	52755	14419	52653	294	48116	518	40092	42
"5-D30PM"	56908	36209	51662	18948	51550	534	46618	825	39922	115
"2-D54"	57104	30812	52730	14532	52567	522	47030	784	37644	94
"3-D50PM"	57312	27327	53449	13405	53349	569	48925	820	41199	94
"5-D25"	57342	28649	54549	13149	54340	685	50560	856	44443	138
"3-D29AM"	57502	30008	53365	14412	53243	753	48835	1054	39790	107
"5-D60PM"	57865	27870	55195	12778	55079	626	50559	945	40373	98
"3-D1AM"	58010	38726	51659	20124	51327	295	43876	513	34822	58
"2-D52PM"	58031	33317	52890	15079	52725	439	47913	649	39465	90
"4-D1AM"	58354	36285	52478	18320	52208	308	43968	572	35751	63
"3-D23AM"	58464	39935	53872	20075	53640	673	48152	879	41364	130
"4-D32"	58589	33967	53309	16783	53173	729	46459	1103	37021	115
"4-D3AM"	58681	47744	51174	26520	50868	350	43514	608	36655	94
"4-D28AM"	58682	28878	55391	13603	55208	721	50993	956	43646	123
"3-D52PM"	58846	28523	54632	14323	54502	468	49539	670	42281	100
"7-D24"	58853	44008	53132	22932	52968	393	49836	609	44944	101
"8-D28PM"	59045	29115	55447	14482	55341	534	51503	768	44652	127
"6-D23AM"	59106	26323	56234	12204	56093	594	53290	860	46820	128
"2-D28PM"	59178	31743	55251	14845	54949	744	50219	917	42073	129
"4-D22AM"	59282	38721	55360	19556	55144	735	50396	1038	43843	159
"7-D60AM"	59491	31380	56057	16787	55846	497	49295	786	39655	93
"4-D43AM"	59560	32855	54803	15758	54661	521	49811	854	40735	54
"1-D29PM"	59721	35073	55081	17672	54905	775	48693	1111	38924	120
"4-D35AM"	59747	30970	55933	14759	55789	786	50964	1177	40140	120
"6-D24"	59759	39072	54961	18745	54815	381	51740	611	45474	96
"8-D60PM"	59784	25155	57518	12137	57373	431	54333	733	45038	86
"3-D58AM"	59960	32211	55606	13421	55444	555	50512	837	39760	95
"6-D58AM"	60154	27117	56840	14218	56660	326	51903	590	42031	60
"3-D30PM"	60158	32919	55566	15978	55481	582	51167	931	43607	108
"9-D59AM"	60171	26877	57669	13507	57498	417	53399	726	41985	81
"5-D51PM"	60275	31242	56424	15026	56254	600	52180	940	40622	80
"3-D23PM"	60301	31731	56541	14564	56253	704	51843	829	45393	139
"7-D0PM"	60463	33339	56051	14161	55974	161	39626	217	34625	61
"9-D58AM"	60547	27840	57191	14175	57011	400	50934	665	40923	92
"4-D60AM"	60647	32981	56665	16120	56490	492	51252	750	41851	96
"6-D57PM"	60714	28731	56919	15191	56713	421	50958	676	43677	94
"8-D23PM"	61010	41627	56371	20923	56226	463	52755	724	47588	113
"9-D57AM"	61131	25110	57630	12731	57480	360	53599	572	45440	85
"4-D10"	61267	39158	56451	18836	56290	763	51059	1102	39912	114
"4-D63"	61481	30527	58546	14500	58347	599	53237	931	39654	92
"2-D60AM"	61567	33710	57373	14070	57218	697	51038	1095	36773	93
"4-D54"	61701	30398	57751	15745	57571	501	51617	785	40571	90
"1-D1PM"	61771	41281	54258	20794	53939	212	46268	370	40246	51
"7-D59AM"	61785	29790	59250	14909	59088	518	53871	825	44480	91
"6-D28PM"	61860	35072	57972	17198	57763	556	52988	792	45628	116
"10-D29AM"	61868	28407	58286	13602	58192	511	54734	806	44266	115
"1-D29AM"	62205	31967	58141	15347	57983	817	52869	1107	42901	114
"6-D23PM"	62319	31178	58913	15138	58753	557	54957	807	47339	120
"5-D59AM"	62409	40727	58867	20360	58527	447	51988	799	41458	86
"5-D22AM"	62833	30328	59296	13948	59135	847	55165	1121	47734	150
"3-D58PM"	62853	35201	58758	15157	58586	561	52297	878	40674	98
"3-D52AM"	62859	32870	58051	16758	57898	484	51875	703	43904	95
"5-D58PM"	62924	35334	58483	14621	58304	532	52603	864	39276	81
"3-D54"	63006	45525	54613	19448	54367	446	48827	670	40505	103
"5-D9"	63119	37027	58064	17527	57830	762	52101	1117	40342	102
"5-D54"	63163	39477	56562	21026	56303	453	50466	747	41917	70
"4-D22PM"	63272	38901	58987	18689	58765	684	54716	959	49223	170
"7-D57AM"	63298	30330	60033	16039	59826	484	54556	747	47737	98
"2-D28AM"	63341	34551	59444	15758	59193	675	54935	897	47429	128
"2-D58PM"	63415	41162	58840	18796	58673	569	50584	915	39175	105
"4-D25"	63419	32536	59599	14777	59394	743	55430	963	47790	132
"9-D63"	63592	24900	60655	11981	60503	491	56316	818	43684	90
"10-D64AM"	63685	26013	60661	12010	60544	425	56821	691	49010	90
"4-D4PM"	63771	29958	58793	13121	58612	650	53618	998	42686	127
"6-D22AM"	64126	27697	61089	13077	60979	607	57627	918	48723	125
"9-D44AM"	64221	28031	60529	12988	60460	237	57649	405	51310	43
"6-D22PM"	64286	49216	57527	26190	57249	479	52015	731	46628	117
"3-D1PM"	64305	40004	57400	19665	57186	223	50992	359	44313	62
"10-D10"	64397	28802	60738	14451	60591	517	56196	818	46843	88
"4-D3PM"	64455	47586	56987	23521	56663	354	49335	573	43792	101
"3-D61"	64467	32307	60050	13514	59915	734	54898	1098	43189	114
"6-D10"	64479	28642	60917	13710	60791	556	57009	864	48784	109
"3-D44PM"	64521	29134	60704	13463	60621	555	55380	912	43993	68
"10-D51AM"	64558	26390	61403	13209	61286	480	57591	770	48032	79
"2-D43AM"	64578	34121	59893	16056	59774	411	55386	680	45068	57
"2-D44AM"	64635	39433	59292	20218	59130	382	52336	656	41928	51
"3-D35AM"	64801	32882	60849	15136	60714	877	55341	1267	42400	134
"5-D51AM"	64814	31582	60971	15025	60814	640	56530	1003	43770	80
"7-D44AM"	65199	23212	61475	11532	61392	240	58289	440	51414	45
"4-D11"	65219	38529	59910	18475	59697	733	54202	1042	43559	113
"5-D45PM"	65284	31096	61144	14815	61007	376	57592	653	46668	49
"5-D43PM"	65424	34822	60353	17221	60153	306	55248	567	44213	39
"8-D0PM"	65424	38784	59951	15601	59702	216	46864	339	39607	75
"2-D1PM"	65456	44299	56577	22477	56124	232	49333	406	42786	61
"10-D23PM"	65500	55463	55254	30670	54866	339	50103	548	46261	115
"4-D42AM"	65790	44216	58166	22071	57977	497	54052	858	44032	64
"1-D3AM"	65842	44228	58837	20975	58628	458	50962	710	41809	94
"10-D30AM"	65905	34233	61249	17518	61135	442	56641	708	47801	101
"5-D2PM"	65926	34355	60192	14728	60027	452	54232	749	46912	91
"5-D45AM"	66035	29481	62172	13453	62043	440	58827	730	46611	51
"10-D57AM"	66102	34381	62336	18907	62084	432	56090	706	45690	92
"7-D23PM"	66109	45157	60831	23001	60615	515	56455	788	49722	119
"3-D31AM"	66110	36610	60602	17749	60452	835	53308	1236	42741	126
"6-D54"	66122	38016	60253	20762	60031	437	51431	676	44906	100
"2-D22PM"	66162	33379	62758	15394	62585	839	58326	1160	49538	162
"2-D50AM"	66306	30469	62014	15095	61836	423	57604	628	51120	87
"4-D42PM"	66454	34015	61768	16181	61613	596	56007	990	44406	57
"3-D10"	66459	43110	60972	21137	60783	745	54633	1059	42376	123
"1-D2AM"	66674	34101	60328	16202	60139	434	52963	658	42647	87
