sampleID	subject	time
6-D0PM	6	0.5
6-D10	6	10.0
6-D11	6	11.0
6-D14	6	14.0
6-D16	6	16.0
6-D18	6	18.0
6-D1AM	6	1.0
6-D1PM	6	1.5
6-D21AM	6	21.0
6-D21PM	6	21.5
6-D22AM	6	22.0
6-D22PM	6	22.5
6-D23AM	6	23.0
6-D23PM	6	23.5
6-D24	6	24.0
6-D25	6	25.0
6-D28AM	6	28.0
6-D28PM	6	28.5
6-D29AM	6	29.0
6-D29PM	6	29.5
6-D2AM	6	2.0
6-D2PM	6	2.5
6-D30AM	6	30.0
6-D30PM	6	30.5
6-D31AM	6	31.0
6-D31PM	6	31.5
6-D32	6	32.0
6-D33	6	33.0
6-D35AM	6	35.0
6-D35PM	6	35.5
6-D36AM	6	36.0
6-D36PM	6	36.5
6-D37AM	6	37.0
6-D37PM	6	37.5
6-D38	6	38.0
6-D39	6	39.0
6-D3AM	6	3.0
6-D3PM	6	3.5
6-D42AM	6	42.0
6-D42PM	6	42.5
6-D43AM	6	43.0
6-D43PM	6	43.5
6-D44AM	6	44.0
6-D44PM	6	44.5
6-D45AM	6	45.0
6-D45PM	6	45.5
6-D46	6	46.0
6-D47	6	47.0
6-D4AM	6	4.0
6-D4PM	6	4.5
6-D5	6	5.0
6-D50AM	6	50.0
6-D50PM	6	50.5
6-D51AM	6	51.0
6-D51PM	6	51.5
6-D52AM	6	52.0
6-D52PM	6	52.5
6-D53	6	53.0
6-D54	6	54.0
6-D57AM	6	57.0
6-D57PM	6	57.5
6-D58AM	6	58.0
6-D58PM	6	58.5
6-D59AM	6	59.0
6-D59PM	6	59.5
6-D6	6	6.0
6-D60AM	6	60.0
6-D60PM	6	60.5
6-D61	6	61.0
6-D62	6	62.0
6-D63	6	63.0
6-D64AM	6	64.0
6-D64PM	6	64.5
6-D7	6	7.0
6-D8	6	8.0
6-D9	6	9.0
7-D0AM	7	0.0
7-D0PM	7	0.5
7-D10	7	10.0
7-D11	7	11.0
7-D14	7	14.0
7-D16	7	16.0
7-D18	7	18.0
7-D1AM	7	1.0
7-D1PM	7	1.5
7-D21AM	7	21.0
7-D21PM	7	21.5
7-D22AM	7	22.0
7-D22PM	7	22.5
7-D23AM	7	23.0
7-D23PM	7	23.5
7-D24	7	24.0
7-D25	7	25.0
7-D28AM	7	28.0
7-D28PM	7	28.5
7-D29AM	7	29.0
7-D29PM	7	29.5
7-D2AM	7	2.0
7-D2PM	7	2.5
7-D30AM	7	30.0
7-D30PM	7	30.5
7-D31AM	7	31.0
7-D31PM	7	31.5
7-D32	7	32.0
7-D33	7	33.0
7-D35AM	7	35.0
7-D35PM	7	35.5
7-D36AM	7	36.0
7-D36PM	7	36.5
7-D37AM	7	37.0
7-D37PM	7	37.5
7-D38	7	38.0
7-D39	7	39.0
7-D3AM	7	3.0
7-D3PM	7	3.5
7-D42AM	7	42.0
7-D42PM	7	42.5
7-D43AM	7	43.0
7-D43PM	7	43.5
7-D44AM	7	44.0
7-D44PM	7	44.5
7-D45AM	7	45.0
7-D45PM	7	45.5
7-D46	7	46.0
7-D47	7	47.0
7-D4AM	7	4.0
7-D4PM	7	4.5
7-D5	7	5.0
7-D50AM	7	50.0
7-D50PM	7	50.5
7-D51AM	7	51.0
7-D51PM	7	51.5
7-D52AM	7	52.0
7-D52PM	7	52.5
7-D53	7	53.0
7-D54	7	54.0
7-D57AM	7	57.0
7-D58AM	7	58.0
7-D58PM	7	58.5
7-D59AM	7	59.0
7-D59PM	7	59.5
7-D6	7	6.0
7-D60AM	7	60.0
7-D60PM	7	60.5
7-D61	7	61.0
7-D62	7	62.0
7-D63	7	63.0
7-D64AM	7	64.0
7-D64PM	7	64.5
7-D7	7	7.0
7-D8	7	8.0
7-D9	7	9.0
8-D0AM	8	0.0
8-D0PM	8	0.5
8-D10	8	10.0
8-D11	8	11.0
8-D14	8	14.0
8-D16	8	16.0
8-D18	8	18.0
8-D1AM	8	1.0
8-D1PM	8	1.5
8-D21AM	8	21.0
8-D21PM	8	21.5
8-D22AM	8	22.0
8-D22PM	8	22.5
8-D23AM	8	23.0
8-D23PM	8	23.5
8-D24	8	24.0
8-D25	8	25.0
8-D28AM	8	28.0
8-D28PM	8	28.5
8-D29AM	8	29.0
8-D29PM	8	29.5
8-D2AM	8	2.0
8-D2PM	8	2.5
8-D30AM	8	30.0
8-D30PM	8	30.5
8-D31AM	8	31.0
8-D31PM	8	31.5
