""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"2-D25"	72728	68492	68019	68266	64648	57448
"2-D28AM"	63341	58905	58270	58645	54364	47171
"2-D28PM"	59178	54829	54224	54469	49824	41860
"2-D29AM"	70128	62920	62548	62703	56011	45197
"2-D29PM"	74423	68392	68021	68212	61848	51270
"2-D2AM"	89034	79766	79541	79524	69362	57669
"2-D2PM"	70012	63019	62723	62791	56082	47092
"2-D30AM"	68367	61968	61689	61820	55695	44798
"2-D30PM"	67146	61194	60999	61079	55710	47279
"2-D31AM"	83269	75955	75626	75770	67900	53960
"2-D31PM"	77089	72073	71799	71968	67175	55664
"2-D32"	80582	74566	74238	74414	68730	54630
"2-D33"	80515	74030	73635	73864	65835	51314
"2-D35AM"	72298	67459	67226	67354	62070	50115
"2-D35PM"	78185	73140	72879	72943	67098	54322
"2-D36AM"	100894	92509	92145	92335	83465	63774
"2-D36PM"	110847	102765	102389	102586	95192	77870
"2-D37AM"	107902	98935	98731	98769	89348	75936
"2-D37PM"	88624	80092	79996	79957	73824	65309
"2-D38"	99447	88812	88561	88557	81790	69486
"2-D39"	94137	82866	82555	82628	75281	63141
"2-D3AM"	47916	42421	42284	42236	37509	32409
"2-D3PM"	70996	63742	63565	63565	57674	48455
"2-D42AM"	83523	73575	73312	73389	68486	55571
"2-D42PM"	74421	68536	68264	68409	62728	48309
"2-D43AM"	64578	59285	59130	59178	54709	44702
"2-D43PM"	79642	74388	74116	74228	66828	50666
"2-D44AM"	64635	58662	58572	58537	51651	41443
"2-D44PM"	80791	75166	74959	75026	67805	50589
"2-D45AM"	68592	64533	64432	64437	59156	47459
"2-D45PM"	80559	77179	77018	77100	71943	56240
"2-D46"	112325	105144	104817	104937	92559	70324
"2-D47"	84620	80450	80156	80322	74562	57003
"2-D4AM"	110487	95552	95345	95124	83133	72263
"2-D4PM"	76286	68008	67722	67745	61124	51406
"2-D5"	71292	65294	65007	65151	60546	50634
"2-D50AM"	66306	61071	60926	60935	56888	50562
"2-D50PM"	71715	65747	65471	65576	58961	50046
"2-D51AM"	51366	47833	47660	47747	43030	35581
"2-D51PM"	52099	49365	49154	49251	45740	38086
"2-D52AM"	80481	69703	69550	69470	59531	51107
"2-D52PM"	58031	52426	52214	52290	47584	39235
"2-D53"	76736	67944	67531	67683	61118	50149
"2-D54"	57104	52302	52043	52154	47211	37962
"2-D57AM"	54213	50299	49986	50093	45423	36199
"2-D57PM"	37764	35104	34945	34979	32040	26039
"2-D58AM"	69329	64026	63668	63802	57731	43616
"2-D58PM"	63415	58681	58365	58484	50951	39535
"2-D59AM"	39959	37913	37652	37797	34422	26112
"2-D59PM"	38539	36744	36607	36663	33921	27627
"2-D6"	72854	66018	65666	65821	59606	48899
"2-D60AM"	61567	57357	56989	57181	51034	36960
"2-D60PM"	76274	72663	72308	72446	65524	51315
"2-D61"	75670	70286	69957	70074	63906	48731
"2-D62"	53243	49664	49504	49541	45378	36666
"2-D63"	48364	45891	45576	45752	40946	26755
"2-D64AM"	55562	52815	52587	52671	48338	36271
"2-D64PM"	46903	44259	44096	44145	40211	32310
"2-D7"	93392	83706	83220	83353	74197	59135
"2-D8"	33371	30899	30831	30838	28749	25279
"2-D9"	56075	51786	51462	51629	47670	37728
"3-D0AM"	5231	4584	4547	4547	4022	3960
"3-D0PM"	45985	41855	41681	41747	30503	26397
"3-D10"	66459	60403	60053	60220	54176	42123
"3-D11"	75702	70743	70425	70553	65288	52856
"3-D14"	96654	84062	83537	83617	72821	59791
"3-D16"	82273	53332	53177	52677	41559	35491
"3-D18"	130278	120968	120330	120709	110063	89609
"3-D1AM"	58010	50565	50307	50246	41794	32865
"3-D1PM"	64305	56752	56649	56581	50380	43748
"3-D21AM"	148640	137924	136962	137503	125064	96728
"3-D21PM"	141234	130450	129626	130092	117525	91691
"3-D22AM"	71587	67784	67093	67537	62575	52148
"3-D22PM"	52375	48301	47829	48107	43984	38965
"3-D23AM"	58464	53427	52775	53155	47915	41271
"3-D23PM"	60301	56321	55640	55947	51772	45432
"3-D24"	52585	47904	47647	47746	45131	40723
"3-D25"	76245	70290	69757	70037	65200	55641
"3-D28AM"	55921	51801	51318	51597	46878	39791
"3-D29AM"	57502	53034	52765	52915	48219	39323
"3-D29PM"	96289	89286	88799	89101	80982	65053
"3-D2AM"	83720	75277	75027	75066	66067	56031
"3-D2PM"	70091	63475	63198	63278	56841	46940
"3-D30AM"	91556	84349	84058	84186	77017	61237
"3-D30PM"	60158	55242	55116	55159	50795	43300
"3-D31AM"	66110	60286	59979	60119	52784	42419
"3-D31PM"	72033	67530	67219	67376	62123	48704
"3-D32"	72481	67550	67258	67428	62358	48723
"3-D33"	122713	112396	111507	112068	99326	70829
"3-D35AM"	64801	60694	60316	60551	55026	42391
"3-D35PM"	81238	74689	74293	74500	66396	50260
"3-D36AM"	78161	71432	71127	71263	63564	48428
"3-D36PM"	95217	88742	88261	88552	80489	61967
"3-D37AM"	107813	93478	93325	92845	79387	68333
"3-D38"	93015	82627	82329	82349	73823	61431
"3-D39"	107580	98959	98589	98770	89985	70935
"3-D3AM"	75013	65807	65499	65550	57982	49386
"3-D3PM"	70926	61336	61108	61052	52235	45741
"3-D42AM"	79820	70946	70744	70748	64563	52820
"3-D42PM"	53551	50574	50422	50503	47088	38611
"3-D43AM"	68392	64060	63782	63930	57972	44781
"3-D43PM"	88436	81474	81089	81211	71879	50781
"3-D44AM"	52314	48416	48358	48356	44008	36267
"3-D44PM"	64521	60449	60331	60362	55023	43926
"3-D45AM"	80824	75988	75819	75873	69278	54775
"3-D45PM"	84528	80446	80202	80322	75160	58791
"3-D46"	164397	155710	155303	155526	142070	109553
"3-D47"	88978	84715	84372	84560	78438	61231
"3-D4AM"	92470	80153	79920	79784	67360	57810
"3-D4PM"	91206	83458	82847	83202	74827	59139
"3-D5"	87911	80296	79758	80024	71391	56397
"3-D50AM"	77106	71124	70888	70966	66786	56096
"3-D50PM"	57312	52877	52624	52776	48499	40891
"3-D51AM"	46288	41773	41663	41689	37631	33310
"3-D51PM"	84065	77640	77236	77447	72602	61163
"3-D52AM"	62859	57347	57204	57207	51236	43363
"3-D52PM"	58846	54122	53948	53988	49199	42022
"3-D53"	43614	39302	39119	39152	34787	28833
"3-D54"	63006	53513	53168	53323	47911	39934
"3-D57AM"	44862	41048	40774	40869	36929	29688
"3-D57PM"	49001	45448	45183	45231	41169	32706
"3-D58AM"	59960	55556	55227	55398	50825	40109
"3-D58PM"	62853	58689	58419	58497	52358	40839
"3-D59AM"	54774	52476	52229	52355	47838	35181
"3-D59PM"	51160	49077	48863	48972	43465	35639
"3-D6"	98857	89829	89341	89568	79890	64428
"3-D60AM"	44760	41878	41662	41774	38017	29872
"3-D60PM"	50488	48365	48092	48240	44803	35146
"3-D61"	64467	60024	59708	59854	55046	43373
"3-D62"	68268	64397	64107	64200	59124	47791
"3-D63"	53281	50620	50292	50464	46733	35098
"3-D64AM"	44624	42592	42374	42505	39263	30838
"3-D64PM"	56462	53390	53132	53249	48999	39726
"3-D7"	74797	66813	66457	66529	57040	46472
"3-D8"	45798	41846	41778	41761	38767	33586
"3-D9"	68187	61767	61436	61610	55733	44166
"4-D0AM"	9134	8137	8063	8043	6378	6322
"4-D0PM"	15822	14165	14047	14041	12844	12597
"4-D10"	61267	55995	55595	55811	49922	39041
"4-D11"	65219	59333	59015	59141	53633	43109
"4-D14"	122832	106524	106075	106095	93928	74293
"4-D16"	103554	86023	85789	85496	74889	63710
"4-D18"	168687	156717	155557	156153	141719	107233
"4-D1AM"	58354	51601	51455	51382	43275	35075
"4-D1PM"	53296	44344	44280	44094	38352	33092
"4-D21AM"	149733	137249	136361	136861	123322	98624
"4-D21PM"	128407	114978	114212	114519	101831	83221
"4-D22AM"	59282	54940	54348	54716	49905	43509
"4-D22PM"	63272	58599	58173	58353	54051	48765
